,OBJECTID,FAR,POP,Area,JU_Type,N_DLBM,N_DLMC,BD,Risk,CA_Per,B_Types,XF_N1,HW_N1,HW_N2,Sta_Type,S1,nS1,S21,S22,S23,nS21,nS22,nS23,nS2,N1,nN1,N2,nN2,N3,nN3,S,N,C,S11_,nS11_,S12_,nS12_,Temp1,Temp2,S21_,nS21_,S22_,nS22_,N1_,nN1_,N2_,nN2_,S_,N_,C_,boundary
0,407011.0,3.47011432957,3467.0,29970.0984639,,070102,二类城镇住宅用地,0.26,1237.461225,1.35,"JA, JB, JH, JS",1.0,1.0,1.0,0.0,7.4,16.6666666667,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.115681968952,61.5493597348,128695556.734,70.5015947402,0.0,100.0,33.1356666667,71.6886712011,0.46221622066,4.4,0.0,6740.29773886,100.0,0.0,7.8,7.8,0.0,67.1875769641,100.0,4.95781,70.5104738662,110162.611435,70.5015947402,62.5,70.507144194,0.886434994843,"[[114.288817816841, 30.596118977865], [114.288225097657, 30.595466308594], [114.288023003473, 30.595295410157], [114.287883843316, 30.595198296441], [114.287545030382, 30.595086263021], [114.287547200521, 30.595366210938], [114.28712592231, 30.595365668403], [114.287124294705, 30.595275065105], [114.286962619358, 30.595274793837], [114.286957194011, 30.594976128473], [114.286710069445, 30.594930826823], [114.286671820747, 30.594925130209], [114.286644694011, 30.59492702908], [114.286619737414, 30.594935167101], [114.286587456598, 30.59495686849], [114.286467285157, 30.595424804688], [114.286452094185, 30.595744357639], [114.286458604601, 30.596647135417], [114.28654296875, 30.596716308594], [114.287576497396, 30.596669108073], [114.288770345053, 30.596193576389], [114.288817816841, 30.596118977865]]"
1,407019.0,5.63039281436,225.0,1197.1274405,垃圾收集站,1309,环卫用地,0.26,584.849352,,1.#QNAN,1.0,0.0,0.0,2.0,7.4,16.6666666667,2491.42899459,4136.51562741,1139.0,0.0,0.0,100.0,39.415,0.187949914427,100.0,3942058.76486,2.15952622247,0.0,100.0,25.1972916667,59.2338097911,0.425386983474,15.4,100.0,6740.29773886,100.0,1.0,22.8,22.8,100.0,67.1875769641,100.0,0.0,0.0,0.0,0.0,100.0,0.0,3021.59184173,"[[114.290119086372, 30.598904351129], [114.289988335504, 30.599251030816], [114.290034450955, 30.599365505643], [114.290198838976, 30.599413248698], [114.290354003907, 30.598966471355], [114.290119086372, 30.598904351129]]"
2,407022.0,3.65376380909,4612.0,37870.9654785,,070102,二类城镇住宅用地,0.26,1237.461225,1.35,"JA, JB, JH, JS",1.0,1.0,1.0,0.0,7.4,16.6666666667,2491.42899459,4136.51562741,1139.0,0.0,0.0,100.0,39.415,0.121781949357,64.7948948145,171229443.955,93.8023749356,0.0,100.0,25.1972916667,82.7497243868,0.304500007141,5.4,9.09090909091,6740.29773886,100.0,2.0,12.8,12.8,33.3333333333,67.1875769641,100.0,6.59516,93.7970307098,146571.359411,93.8023749356,69.9495757576,93.7990347945,0.745738758515,"[[114.292478027344, 30.599436848959], [114.292608506945, 30.599237196181], [114.293179253473, 30.598418511285], [114.2931898329, 30.598400065105], [114.293196072049, 30.598368598091], [114.293192816841, 30.598351508247], [114.293182237414, 30.598325195313], [114.293166503907, 30.598307291667], [114.293146701389, 30.598292914497], [114.290951334636, 30.597234157987], [114.290736762153, 30.597253960504], [114.29030327691, 30.598415798612], [114.290119086372, 30.598904351129], [114.290354003907, 30.598966471355], [114.290198838976, 30.599413248698], [114.290902235244, 30.599616699219], [114.290906846789, 30.599611545139], [114.291042480469, 30.599291178386], [114.290551215278, 30.599143880209], [114.290757921007, 30.598594563803], [114.291136881511, 30.598713107639], [114.291127115886, 30.598745659723], [114.291307237414, 30.598799913195], [114.291339789497, 30.598717990452], [114.291360405816, 30.598724772136], [114.291457790799, 30.598529730903], [114.292003038195, 30.598807508681], [114.291927354601, 30.598960232205], [114.292400173612, 30.599210069445], [114.292309299046, 30.599339735244], [114.292304144966, 30.599349772136], [114.292478027344, 30.599436848959]]"
3,407026.0,2.45791367161,1441.0,17589.7777744,,070102,二类城镇住宅用地,0.26,1237.461225,1.35,"JA, JB, JH, JS",1.0,1.0,1.0,0.0,7.4,16.6666666667,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.0819225813129,43.5874533716,53500590.7451,29.3085251954,0.0,100.0,33.1356666667,47.0405673895,0.704406186097,5.4,9.09090909091,6740.29773886,100.0,3.0,22.8,22.8,100.0,67.1875769641,100.0,2.06063,29.3064876957,45796.1792884,29.3085251955,81.0609090909,29.3072517581,2.76589936716,"[[114.289679090712, 30.59879530165], [114.289513888889, 30.59875108507], [114.289342990452, 30.598738606771], [114.28936062283, 30.598534613716], [114.288626844619, 30.598510199653], [114.288624403212, 30.598546006945], [114.288421495226, 30.598538682726], [114.288310546875, 30.598536783855], [114.288313259549, 30.598581814237], [114.288080512153, 30.598576388889], [114.287798936632, 30.598563910591], [114.287794325087, 30.598885904948], [114.287772623698, 30.598945855035], [114.287709960938, 30.599066297744], [114.287956271702, 30.59916531033], [114.287956271702, 30.599184299046], [114.288155653212, 30.599265407987], [114.288100585938, 30.599377170139], [114.288349066841, 30.599462348091], [114.288566623264, 30.599545627171], [114.288566623264, 30.59954779731], [114.288586968316, 30.599553493924], [114.28863796658, 30.599572753907], [114.289038628473, 30.599680989584], [114.289209798178, 30.599768608941], [114.289249131945, 30.599786783855], [114.289324815539, 30.599674750435], [114.289584147136, 30.599094780816], [114.289590657553, 30.59907904731], [114.289679090712, 30.59879530165]]"
4,407106.0,0.0,0.0,2102.88082681,,1207,城镇村道路用地,0.26,664.903184,,1.#QNAN,0.0,0.0,0.0,0.0,17.4,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.0,0.0,0.0,0.0,0.0,100.0,85.219,16.667,5.11303773925,5.4,9.09090909091,6740.29773886,100.0,4.0,8.8,8.8,6.66666666667,67.1875769641,100.0,0.0,0.0,0.0,0.0,65.5050424242,0.0,3021.59184173,"[[114.288910047744, 30.596238064237], [114.288817816841, 30.596118977865], [114.288770345053, 30.596193576389], [114.287576497396, 30.596669108073], [114.28654296875, 30.596716308594], [114.286458604601, 30.596647135417], [114.286464029948, 30.596784667969], [114.286540527344, 30.596782769098], [114.286933322483, 30.596772189671], [114.286995713976, 30.596770833334], [114.287124294705, 30.59676812066], [114.287440592448, 30.596762152778], [114.287548014323, 30.596752115886], [114.28767578125, 30.596703287761], [114.287955729167, 30.596595594619], [114.288011610244, 30.596574164497], [114.288507758247, 30.596383463542], [114.288658040365, 30.596330295139], [114.288663465712, 30.596328396268], [114.288873969185, 30.596254069011], [114.288910047744, 30.596238064237]]"
5,407111.0,4.57849365957,4226.0,27693.2233851,,070102,二类城镇住宅用地,0.26,1237.461225,1.35,"JA, JB, JH, JS",1.0,1.0,1.0,0.0,7.4,16.6666666667,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.152600509563,81.1921144142,156901727.598,85.9534104663,0.0,100.0,33.1356666667,86.311525852,0.383907784501,4.4,0.0,6740.29773886,100.0,5.0,7.8,7.8,0.0,67.1875769641,100.0,6.04318,85.9467154769,134306.921618,85.9534104663,62.5,85.9492260979,0.727173505074,"[[114.290179578994, 30.596771647136], [114.290195041233, 30.596719292535], [114.290176595053, 30.59654296875], [114.290130750869, 30.596274414063], [114.290062391494, 30.596013454862], [114.289938693577, 30.595660536025], [114.28979546441, 30.595262315539], [114.289745551216, 30.595115017362], [114.289718153212, 30.594993218316], [114.28970703125, 30.594842664931], [114.289720052084, 30.594698350695], [114.289740668403, 30.594586317275], [114.289755045573, 30.594544270834], [114.289779188369, 30.594497884115], [114.289721950955, 30.594465060764], [114.289298502605, 30.594214952257], [114.289098307292, 30.594393174914], [114.288504503039, 30.594945475261], [114.288298882379, 30.594839952257], [114.288079698351, 30.59506374783], [114.288059895834, 30.595083550348], [114.288165690105, 30.595152723525], [114.288263075087, 30.595231119792], [114.288349880643, 30.595315755209], [114.288885362414, 30.595897623698], [114.28964436849, 30.596646592882], [114.289695909289, 30.596678059896], [114.289750162761, 30.596706000435], [114.289853786893, 30.596749945747], [114.289990505643, 30.596794162327], [114.290065646702, 30.596812065973], [114.290117730035, 30.596810980903], [114.290155164931, 30.596794976129], [114.290179578994, 30.596771647136]]"
6,407116.0,0.0,0.0,2308.34872487,,1207,城镇村道路用地,0.26,664.903184,,1.#QNAN,0.0,0.0,0.0,0.0,17.4,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.0,0.0,0.0,0.0,0.0,100.0,85.219,16.667,5.11303773925,5.4,9.09090909091,6740.29773886,100.0,6.0,8.8,8.8,6.66666666667,67.1875769641,100.0,0.0,0.0,0.0,0.0,65.5050424242,0.0,3021.59184173,"[[114.288003472223, 30.596674804688], [114.288653700087, 30.596427408855], [114.288696831598, 30.596420084636], [114.288889702691, 30.596330837674], [114.289010416667, 30.59636827257], [114.288910047744, 30.596238064237], [114.288873969185, 30.596254069011], [114.288663465712, 30.596328396268], [114.288658040365, 30.596330295139], [114.288507758247, 30.596383463542], [114.288011610244, 30.596574164497], [114.287955729167, 30.596595594619], [114.28767578125, 30.596703287761], [114.287548014323, 30.596752115886], [114.287440592448, 30.596762152778], [114.287124294705, 30.59676812066], [114.286995713976, 30.596770833334], [114.286933322483, 30.596772189671], [114.286540527344, 30.596782769098], [114.286464029948, 30.596784667969], [114.286467285157, 30.596864149306], [114.287160101997, 30.596836208768], [114.287577039931, 30.59683702257], [114.288003472223, 30.596674804688]]"
7,407117.0,0.0,0.0,3043.55228378,,1207,城镇村道路用地,0.26,664.903184,,1.#QNAN,0.0,0.0,0.0,0.0,17.4,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.0,0.0,0.0,0.0,0.0,100.0,85.219,16.667,5.11303773925,5.4,9.09090909091,6740.29773886,100.0,7.0,8.8,8.8,6.66666666667,67.1875769641,100.0,0.0,0.0,0.0,0.0,65.5050424242,0.0,3021.59184173,"[[114.290179578994, 30.596771647136], [114.290155164931, 30.596794976129], [114.290117730035, 30.596810980903], [114.290065646702, 30.596812065973], [114.289990505643, 30.596794162327], [114.289853786893, 30.596749945747], [114.289750162761, 30.596706000435], [114.289695909289, 30.596678059896], [114.28964436849, 30.596646592882], [114.288885362414, 30.595897623698], [114.288349880643, 30.595315755209], [114.288263075087, 30.595231119792], [114.288165690105, 30.595152723525], [114.288059895834, 30.595083550348], [114.288002387153, 30.595140787761], [114.288220757379, 30.595330403646], [114.28832655165, 30.59543484158], [114.288427191841, 30.595533854167], [114.289021809896, 30.596187608507], [114.289336480035, 30.596524251303], [114.289518771702, 30.596681857639], [114.289783257379, 30.596824544271], [114.290063476563, 30.596907009549], [114.290158962674, 30.59691514757], [114.290179578994, 30.596771647136]]"
8,407126.0,2.63006806725,237.0,2708.29607555,消防大队,1310,消防用地,0.26,708.898896,,1.#QNAN,1.0,0.0,0.0,3.0,17.4,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.0875088961431,46.5596892714,5049488.9806,2.76619515692,0.0,100.0,85.219,37.2196162647,2.28962597019,5.4,9.09090909091,6740.29773886,100.0,8.0,8.8,8.8,6.66666666667,67.1875769641,100.0,0.0,0.0,0.0,0.0,65.5050424242,0.0,3021.59184173,"[[114.288653700087, 30.596427408855], [114.288003472223, 30.596674804688], [114.288081325955, 30.596847873264], [114.288071831598, 30.596974012587], [114.288605957032, 30.596995171441], [114.288616265191, 30.59699327257], [114.288653700087, 30.596427408855]]"
9,407129.0,0.0,0.0,1823.62088822,,1207,城镇村道路用地,0.26,664.903184,,1.#QNAN,0.0,0.0,0.0,0.0,17.4,100.0,2708.29607555,7123.00302496,704.156979643,100.0,100.0,0.0,60.584,0.0,0.0,0.0,0.0,0.0,100.0,85.219,16.667,5.11303773925,5.4,9.09090909091,6740.29773886,100.0,9.0,8.8,8.8,6.66666666667,67.1875769641,100.0,0.0,0.0,0.0,0.0,65.5050424242,0.0,3021.59184173,"[[114.290158962674, 30.59691514757], [114.290063476563, 30.596907009549], [114.289783257379, 30.596824544271], [114.289518771702, 30.596681857639], [114.289336480035, 30.596524251303], [114.289021809896, 30.596187608507], [114.288997938369, 30.596198730469], [114.288910047744, 30.596238064237], [114.289010416667, 30.59636827257], [114.289045410157, 30.596413845487], [114.28917670356, 30.59652967665], [114.289356282553, 30.596705186632], [114.289587131077, 30.596842990452], [114.289893663195, 30.597003309462], [114.28995686849, 30.597010904948], [114.290145128039, 30.597014431424], [114.290158962674, 30.59691514757]]"
