,OBJECTID,ZLDWDM,ZLDWMC,TBMJ,TBDLMJ,GDLX,GDPDJB,TBXHMC,ZZSXMC,CZCSXM,Shape_Leng,Shape_Area,类型,候选必,统计,N_DLBM,N_DLMC,Fire_FID,Risk,CA_Per,B_Types,XF_N1,HW_N1,HW_N2,Pop,B_Area0,B_Area,F_Area,E_Area,S1,nS1,S21,S22,S23,nS21,nS22,nS23,nS2,N1,nN1,N2,nN2,N3,nN3,S,N,C,S11_,nS11_,S12_,nS12_,Temp1,Temp2,S21_,nS21_,S22_,nS22_,N1_,nN1_,N2_,nN2_,S_,N_,C_,boundary
0,406429.0,4201020070010000000,熊家台社区,4405.85,4405.85,,,,,201,280.381175309,4405.92888601,初始,必选,08,080402,中等职业教育用地,1.0,1192.911408,15.0,"JA, JB, JH, JS",1.0,1.0,1.0,653.185974121,1215.0,2828.61732252,2828.61732252,2506.21277974,3.4,6.66666666667,2491.42899459,4136.51562741,1139.0,0.0,0.0,0.0,0.0,0.148251592575,8.79663037622,3374289.8729,0.741532274618,0.0,0.0,4.16666666667,3.97426623172,1.04841156172,2.4,7.69230769231,45.7179970238,0.0,0.0,2.1,2.1,0.0,627.781640298,100.0,0.934055942993,9.00541248334,238.925618335,0.0613648168071,25.5605384615,5.65139460839,4.52287271244,"[[38527170.9007, 3386071.376], [38527154.71, 3386084.5198], [38527165.773, 3386098.364], [38527159.5855, 3386103.9579], [38527181.0233, 3386128.6455], [38527181.1482, 3386129.0519], [38527184.4609, 3386121.4581], [38527193.1487, 3386118.1143], [38527248.5239, 3386074.1135], [38527248.7115, 3386069.7382], [38527237.3987, 3386053.2069], [38527218.0233, 3386033.8631], [38527170.9007, 3386071.376]]"
1,406433.0,4201020070010000000,熊家台社区,10591.08,10591.08,,,,,201,794.302982436,10591.2871755,初始,候选,1004,1207,城镇村道路用地,0.0,664.903184,,1.#QNAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,6.66666666667,2491.42899459,4136.51562741,1139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16666666667,0.0,162584.298109,2.4,7.69230769231,45.7179970238,0.0,1.0,2.1,2.1,0.0,627.781640298,100.0,0.0,0.0,0.0,0.0,25.5605384615,0.0,13969.3677121,"[[38527392.4327, 3386122.8623], [38527380.4007, 3386107.5816], [38527368.3687, 3386092.3009], [38527356.3367, 3386077.0202], [38527344.3048, 3386061.7395], [38527332.2728, 3386046.4588], [38527320.2408, 3386031.1781], [38527308.2089, 3386015.8974], [38527296.1769, 3386000.6167], [38527286.0167, 3385987.6398], [38527275.8566, 3385974.6629], [38527265.6965, 3385961.6861], [38527255.5363, 3385948.7092], [38527248.6188, 3385940.0447], [38527241.7013, 3385931.3802], [38527185.3846, 3385860.8405], [38527181.1877, 3385855.5837], [38527168.7148, 3385839.6633], [38527145.408, 3385858.0554], [38527151.8969, 3385866.9241], [38527215.2103, 3385943.5183], [38527370.7573, 3386142.4538], [38527376.5053, 3386149.9177], [38527392.4327, 3386122.8623]]"
2,406434.0,4201020070010000000,熊家台社区,4434.49,4434.49,,,,,201,293.94804638,4434.57024499,初始,必选,08,0802,科研用地,1.0,1133.309502,27.0,"JA, JB, JH, JS",1.0,1.0,1.0,0.0,2186.0,4872.04392153,4497.20036721,1701.28067794,3.4,6.66666666667,2491.42899459,4136.51562741,1139.0,0.0,0.0,0.0,0.0,0.0,0.0,5096719.90856,1.12005264789,0.0,0.0,4.16666666667,0.466692336796,8.92808031791,2.4,7.69230769231,45.7179970238,0.0,2.0,2.1,2.1,0.0,627.781640298,100.0,0.0,0.0,90.1048655353,0.0231422172538,25.5605384615,0.00867833147018,2945.32866707,"[[38527336.2009, 3386129.1822], [38527318.2351, 3386107.6233], [38527318.6087, 3386104.1465], [38527317.4595, 3386098.7569], [38527301.6495, 3386079.8319], [38527302.0244, 3386074.9255], [38527278.5867, 3386045.1753], [38527273.5239, 3386051.4881], [38527271.2115, 3386056.4255], [38527251.8367, 3386123.2077], [38527267.8369, 3386129.2701], [38527268.2744, 3386127.9576], [38527330.2127, 3386150.2698], [38527335.65, 3386134.2387], [38527336.2009, 3386129.1822]]"
3,406439.0,4201020070060000000,新三巷社区,336.75,336.75,,,,,201,79.9662697,336.753032814,初始,必选,05,090101,零售商业用地,1.0,1240.06896,1.35,"JA, JB, JH, JS",1.0,0.0,1.0,0.0,337.0,1684.67948903,1684.67948903,1684.67948903,7.4,33.3333333333,2491.42899459,4136.51562741,1139.0,0.0,0.0,0.0,0.0,0.0,0.0,2089118.74189,0.459103702104,0.0,0.0,20.8333333333,0.191294739556,108.90698501,4.4,23.0769230769,45.7179970238,0.0,3.0,4.1,4.1,7.40740740741,627.781640298,100.0,0.0,0.0,1784.51234764,0.458327884912,30.0002079772,0.171872956842,174.548739537,"[[38527486.4655, 3386350.4901], [38527481.4031, 3386343.9586], [38527485.2155, 3386340.7713], [38527476.2152, 3386329.8025], [38527462.4651, 3386340.7713], [38527469.0903, 3386349.2712], [38527470.5903, 3386348.2089], [38527477.9655, 3386357.1152], [38527486.4655, 3386350.4901]]"
4,406440.0,4201020070060000000,新三巷社区,8220.71,8220.71,,,,,201,598.969980579,8220.86770973,初始,候选,1004,1207,城镇村道路用地,0.0,664.903184,,1.#QNAN,0.0,0.0,0.0,192.536331177,0.0,0.0,0.0,0.0,5.4,20.0,2491.42899459,4136.51562741,1139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,162584.298109,2.4,7.69230769231,45.7179970238,0.0,4.0,4.1,4.1,7.40740740741,627.781640298,100.0,0.0,0.0,0.0,0.0,26.7951310541,0.0,13969.3677121,"[[38527558.0251, 3386329.8881], [38527546.6678, 3386315.8589], [38527535.3105, 3386301.8296], [38527523.9532, 3386287.8003], [38527512.5959, 3386273.7711], [38527501.2386, 3386259.7418], [38527489.5503, 3386245.0426], [38527477.862, 3386230.3433], [38527466.1737, 3386215.644], [38527454.4854, 3386200.9448], [38527442.7971, 3386186.2455], [38527431.1088, 3386171.5463], [38527419.4205, 3386156.847], [38527407.7322, 3386142.1477], [38527396.0439, 3386127.4485], [38527392.4327, 3386122.8623], [38527376.5053, 3386149.9177], [38527386.1766, 3386162.4761], [38527393.2136, 3386171.6139], [38527427.6516, 3386215.1765], [38527457.7147, 3386253.2703], [38527500.528, 3386307.3957], [38527516.6533, 3386338.3962], [38527533.8765, 3386360.5368], [38527549.7057, 3386340.4476], [38527558.0251, 3386329.8881]]"
5,406441.0,4201020070050000000,高雄社区,980.22,980.22,,,,,201,171.400676759,980.238269138,初始,必选,07,070102,二类城镇住宅用地,1.0,1237.461225,1.35,"JA, JB, JH, JS",1.0,1.0,1.0,0.0,682.0,3790.21416877,3749.83377571,53.840524083,5.4,20.0,17590.0978124,43234.1361634,3945.0,100.0,100.0,100.0,99.999,0.0,0.0,4640273.89764,1.01974429814,0.0,0.0,49.999625,0.424896856706,117.674734964,2.4,7.69230769231,45.7179970238,0.0,5.0,4.1,4.1,7.40740740741,31.5752313049,1.28668891551,0.0,0.0,57.0310736583,0.0146476606893,3.14539598451,0.00549287275849,572.632231404,"[[38526995.585, 3386323.4612], [38526986.5223, 3386319.5863], [38526977.7101, 3386337.1491], [38526975.4601, 3386345.993], [38526979.585, 3386350.7119], [38527003.2105, 3386354.5869], [38527035.4609, 3386361.6179], [38527037.4605, 3386352.6801], [38527024.2729, 3386350.2426], [38527024.6479, 3386347.9926], [38527001.21, 3386343.2427], [38526996.0851, 3386323.6486], [38526995.585, 3386323.4612]]"
6,406515.0,4201020070050000000,高雄社区,1814.24,1814.24,,,,,201,189.216775728,1814.26704102,初始,必选,08,0801,机关团体用地,1.0,1043.797482,12.0,"JA, JB, JH, JS",1.0,1.0,1.0,0.0,1688.0,6544.92523591,6544.92523591,6544.92523591,3.4,6.66666666667,17590.0978124,43234.1361634,3945.0,100.0,100.0,100.0,99.999,0.0,0.0,6831576.48112,1.50130387077,0.0,0.0,41.6662916667,0.625548283834,66.6076348437,1.4,0.0,45.7179970238,0.0,6.0,2.1,2.1,0.0,31.5752313049,1.28668891551,0.0,0.0,779.936923946,0.200316260736,0.308264930378,0.075118597776,4.1037098602,"[[38526931.5958, 3386133.6417], [38526876.9235, 3386105.2916], [38526856.5612, 3386125.2012], [38526920.133, 3386158.5103], [38526931.5958, 3386133.6417]]"
7,406829.0,4201020070010000000,熊家台社区,1015.47,1015.47,,,,,201,135.793080407,1015.49194851,初始,必选,05,090101,零售商业用地,1.0,1240.06896,1.35,"JA, JB, JH, JS",1.0,0.0,1.0,0.0,394.0,2960.61171717,2914.05546611,2898.53671576,3.4,6.66666666667,2491.42899459,4136.51562741,1139.0,0.0,0.0,0.0,0.0,0.0,0.0,3613629.73124,0.794129483586,0.0,0.0,4.16666666667,0.330889931926,12.5923041611,1.4,0.0,45.7179970238,0.0,7.0,2.1,2.1,0.0,31.5752313049,1.28668891551,0.0,0.0,3070.30185447,0.788565546696,0.308264930378,0.295712080011,1.04244956908,"[[38527031.7083, 3385962.1133], [38527013.1458, 3385977.6135], [38527014.7708, 3385980.3011], [38527042.76, 3386011.5675], [38527058.5527, 3385997.8052], [38527039.7694, 3385973.6555], [38527039.0533, 3385973.3187], [38527039.7086, 3385972.7069], [38527031.7083, 3385962.1133]]"
8,406841.0,4201020140070000000,花莲社区,223.96,223.96,,,,,201,62.0789871265,223.968892283,初始,必选,05,090101,零售商业用地,0.0,1240.06896,1.35,"JA, JB, JH, JS",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.4,20.0,17590.0978124,43234.1361634,3945.0,100.0,100.0,100.0,99.999,0.0,0.0,0.0,0.0,0.0,0.0,49.999625,0.0,162584.298109,3.4,15.3846153846,96.1150015363,100.0,8.0,5.1,5.1,11.1111111111,31.5752313049,1.28668891551,0.0,0.0,0.0,0.0,43.9072307423,0.0,13969.3677121,"[[38526940.0865, 3386691.997], [38526939.7115, 3386672.403], [38526928.2737, 3386672.6529], [38526928.7115, 3386692.3096], [38526940.0865, 3386691.997]]"
9,406843.0,4201020140040000000,宝岛社区,1997.53,1997.53,,,,,201,196.479411686,1997.55845474,初始,必选,1005,120803,社会停车场用地,0.0,930.92494,2.3,"JA, JB, JH, JS",0.0,0.0,1.0,316.041748047,184.0,184.387096263,184.387096263,0.0,2.4,0.0,17590.0978124,43234.1361634,3945.0,100.0,100.0,100.0,99.999,0.0,0.0,171650.546525,0.0377218392606,7.0,41.1764705882,37.499625,6.8785999117,5.4516363041,1.4,0.0,96.1150015363,100.0,9.0,2.1,2.1,0.0,23.8039168856,0.0,0.0,0.0,0.0,0.0,38.542,0.0,13969.3677121,"[[38526436.6433, 3386694.8123], [38526451.1433, 3386680.3433], [38526453.2059, 3386680.9683], [38526462.8937, 3386687.2183], [38526469.4559, 3386673.8745], [38526425.9553, 3386631.1555], [38526409.7053, 3386675.9373], [38526415.7678, 3386680.2499], [38526419.0178, 3386683.3749], [38526418.2679, 3386684.1561], [38526433.3307, 3386698.5311], [38526436.6433, 3386694.8123]]"
